x,y
-119.907222,34.068611
-120.064722,33.997778
-120.028056,33.985833
-120.028056,33.985833
-119.572222,34.031389
-117.666833,34.230833
-117.321056,33.965917
-118.112583,34.492722
-116.893417,32.726583
-117.241833,32.672722
-116.814639,32.663167
-121.788083,39.186611
-121.715,39.212111
-121.433333,39.226361
-120.691417,39.310583
-120.818639,39.319667
-117.997,35.375083
-117.992972,35.387694
-117.819083,35.410111
-117.666167,35.377
-117.631556,35.347917
-116.618806,32.606083
-117.592,35.42225
-117.261861,35.109278
-117.157667,35.074083
-117.105278,35.125111
-117.048333,35.102972
-116.971417,35.037528
-116.902056,35.011167
-116.836278,35.041778
-116.628028,35.058917
-116.558944,35.054167
-116.788667,32.621389
-116.490083,35.112389
-116.429254,35.174559
-116.451222,35.149111
-116.370333,35.247111
-116.292389,35.270833
-116.027361,35.416639
-115.992167,35.41125
-115.933694,35.403528
-115.895361,35.383889
-115.835417,35.393611
-116.680944,32.599583
-115.866194,35.774639
-115.735,35.774306
-115.688083,35.719
-117.956083,35.624528
-118.043667,35.675778
-118.109444,35.749556
-118.198,35.695944
-118.436667,35.658806
-118.616194,35.553611
-118.795306,35.440139
-116.49075,32.594
-119.603444,35.299139
-119.822917,35.355167
-120.279361,35.352083
-120.833194,35.357778
-120.720528,35.334917
-120.936417,35.44925
-121.155111,35.622333
-121.274889,35.668972
-119.063056,34.088444
-119.060167,34.165444
-116.377444,32.649806
-118.808333,34.0015
-118.888861,34.0625
-118.889139,34.103139
-116.349444,34.032417
-116.303167,34.011222
-116.122278,34.003194
-116.084278,33.90175
-115.932333,33.778722
-116.254667,32.703056
-116.144778,32.625056
-116.0705,32.704472
-114.50275,34.043861
-114.751139,34.181139
-115.190528,34.072778
-115.354333,34.080833
-115.569083,34.07625
-117.835111,34.290583
-118.079611,34.268944
-117.465389,34.224306
-117.273639,34.177139
-117.185667,34.153111
-117.060694,34.075667
-117.432944,33.746222
-118.305556,34.140528
-118.342306,34.122222
-118.511611,34.123806
-118.583278,34.123694
-118.659917,34.103056
-118.719278,34.108389
-117.922417,35.978556
-118.449389,37.4635
-118.5415,37.406389
-119.198917,38.184972
-120.289389,40.403583
-120.290694,40.403361
-120.006778,41.544472
-120.050194,41.578556
-120.094889,41.618167
-121.997917,41.740889
-122.065583,41.755944
-121.908944,41.761972
-121.934194,41.803167
-121.934222,41.803167
-121.783611,41.719083
-121.755083,41.775833
-121.67175,41.76175
-121.640667,41.779944
-121.596611,41.788083
-121.596667,41.788194
-122.156611,41.576778
-122.2385,41.540694
-122.242833,41.52
-122.276722,41.532472
-122.347639,41.481889
-122.449972,41.473194
-122.472333,41.515361
-122.501389,41.587056
-122.453167,41.633361
-122.683889,41.719278
-122.581972,41.780556
-122.582667,41.839528
-122.619861,41.834417
-122.694722,41.854778
-122.816917,41.873333
-123.019472,41.793278
-123.511278,41.591667
-124.118417,41.035639
-124.1615,41.140833
-120.832639,36.370722
-120.485694,36.218639
-123.810194,39.304528
-123.802833,39.488028
-123.813111,39.45125
-123.812611,39.329944
-122.504056,39.168083
-122.455917,39.027556
-122.351056,38.983722
-122.343389,38.958444
-122.331556,38.925972
-122.301944,38.910194
-122.606,38.998083
-122.370361,39.011472
-122.407639,39.011417
-122.761278,39.040111
-122.490778,39.020194
-122.268056,38.908833
-122.344333,39.025472
-122.345,39.061861
-122.320806,39.106083
-121.833222,39.157
-121.868611,39.169944
-121.893028,39.195222
-121.905611,39.216889
