number,x,y
0,-119.907222,34.068611
1,-120.064722,33.997778
2,-120.028056,33.985833
3,-120.028056,33.985833
4,-119.572222,34.031389
5,-117.666833,34.230833
6,-117.321056,33.965917
7,-118.112583,34.492722
8,-116.893417,32.726583
9,-117.241833,32.672722
10,-116.814639,32.663167
11,-116.618806,32.606083
12,-116.788667,32.621389
13,-116.680944,32.599583
14,-116.49075,32.594
15,-116.377444,32.649806
16,-116.254667,32.703056
17,-116.144778,32.625056
18,-116.0705,32.704472
19,-114.50275,34.043861
20,-114.751139,34.181139
21,-115.190528,34.072778
22,-115.354333,34.080833
23,-115.569083,34.07625
24,-117.835111,34.290583
25,-118.079611,34.268944
26,-117.465389,34.224306
27,-117.273639,34.177139
28,-117.185667,34.153111
29,-117.060694,34.075667
30,-117.432944,33.746222
31,-118.305556,34.140528
32,-118.342306,34.122222
33,-118.511611,34.123806
34,-118.583278,34.123694
35,-118.659917,34.103056
36,-118.719278,34.108389
37,-117.922417,35.978556
38,-118.449389,37.4635
39,-118.5415,37.406389
40,-119.198917,38.184972
41,-120.289389,40.403583
42,-120.290694,40.403361
43,-120.006778,41.544472
44,-120.050194,41.578556
45,-120.094889,41.618167
46,-121.997917,41.740889
47,-122.065583,41.755944
48,-121.908944,41.761972
49,-121.934194,41.803167
50,-121.934222,41.803167
51,-121.783611,41.719083
52,-121.755083,41.775833
53,-121.67175,41.76175
54,-121.640667,41.779944
55,-121.596611,41.788083
56,-121.596667,41.788194
57,-122.156611,41.576778
58,-122.2385,41.540694
59,-122.242833,41.52
60,-122.276722,41.532472
61,-122.347639,41.481889
62,-122.449972,41.473194
63,-122.472333,41.515361
64,-122.501389,41.587056
65,-122.453167,41.633361
66,-122.683889,41.719278
67,-122.581972,41.780556
68,-122.582667,41.839528
69,-122.619861,41.834417
70,-122.694722,41.854778
71,-122.816917,41.873333
72,-123.019472,41.793278
73,-123.511278,41.591667
74,-124.118417,41.035639
75,-124.1615,41.140833
76,-120.832639,36.370722
77,-120.485694,36.218639
78,-123.810194,39.304528
79,-123.802833,39.488028
80,-123.813111,39.45125
81,-123.812611,39.329944
82,-122.504056,39.168083
83,-122.455917,39.027556
84,-122.351056,38.983722
85,-122.343389,38.958444
86,-122.331556,38.925972
87,-122.301944,38.910194
88,-122.606,38.998083
89,-122.370361,39.011472
90,-122.407639,39.011417
91,-122.761278,39.040111
92,-122.490778,39.020194
93,-122.268056,38.908833
94,-122.344333,39.025472
95,-122.345,39.061861
96,-122.320806,39.106083
97,-121.833222,39.157
98,-121.868611,39.169944
99,-121.893028,39.195222
100,-121.905611,39.216889
101,-121.788083,39.186611
102,-121.715,39.212111
103,-121.433333,39.226361
104,-120.691417,39.310583
105,-120.818639,39.319667
106,-117.997,35.375083
107,-117.992972,35.387694
108,-117.819083,35.410111
109,-117.666167,35.377
110,-117.631556,35.347917
111,-117.592,35.42225
112,-117.261861,35.109278
113,-117.157667,35.074083
114,-117.105278,35.125111
115,-117.048333,35.102972
116,-116.971417,35.037528
117,-116.902056,35.011167
118,-116.836278,35.041778
119,-116.628028,35.058917
120,-116.558944,35.054167
121,-116.490083,35.112389
122,-116.429254,35.174559
123,-116.451222,35.149111
124,-116.370333,35.247111
125,-116.292389,35.270833
126,-116.027361,35.416639
127,-115.992167,35.41125
128,-115.933694,35.403528
129,-115.895361,35.383889
130,-115.835417,35.393611
131,-115.866194,35.774639
132,-115.735,35.774306
133,-115.688083,35.719
134,-117.956083,35.624528
135,-118.043667,35.675778
136,-118.109444,35.749556
137,-118.198,35.695944
138,-118.436667,35.658806
139,-118.616194,35.553611
140,-118.795306,35.440139
141,-119.603444,35.299139
142,-119.822917,35.355167
143,-120.279361,35.352083
144,-120.833194,35.357778
145,-120.720528,35.334917
146,-120.936417,35.44925
147,-121.155111,35.622333
148,-121.274889,35.668972
149,-119.063056,34.088444
150,-119.060167,34.165444
151,-118.808333,34.0015
152,-118.888861,34.0625
153,-118.889139,34.103139
154,-116.349444,34.032417
155,-116.303167,34.011222
156,-116.122278,34.003194
157,-116.084278,33.90175
158,-115.932333,33.778722
,,
