STRAIN,FILEBASE
JNA_AS_CCGP_00,CCGPMC025c_JNA_AS_CCGP00_S254_L002_R[12]_001.fastq.gz
JNA_AS_CCGP_01,CCGPMC025c_JNA_AS_CCGP01_S253_L002_R[12]_001.fastq.gz
JNA_AS_CCGP_02,CCGPMC025c_JNA_AS_CCGP02_S252_L002_R[12]_001.fastq.gz
JNA_AS_CCGP_03,CCGPMC025c_JNA_AS_CCGP03_S251_L002_R[12]_001.fastq.gz
JNA_AS_CCGP_04,CCGPMC025c_JNA_AS_CCGP04_S250_L002_R[12]_001.fastq.gz
JNA_AS_CCGP_05,CCGPMC025c_JNA_AS_CCGP05_S249_L002_R[12]_001.fastq.gz
JNA_AS_CCGP_06,CCGPMC025c_JNA_AS_CCGP06_S248_L002_R[12]_001.fastq.gz
JNA_AS_CCGP_07,CCGPMC025c_JNA_AS_CCGP07_S247_L002_R[12]_001.fastq.gz
JNA_AS_CCGP_08,CCGPMC025c_JNA_AS_CCGP08_S246_L002_R[12]_001.fastq.gz
JNA_AS_CCGP_09,CCGPMC025c_JNA_AS_CCGP09_S245_L002_R[12]_001.fastq.gz
JNA_AS_CCGP_10,CCGPMC025c_JNA_AS_CCGP10_S244_L002_R[12]_001.fastq.gz
JNA_AS_CCGP_11,CCGPMC025c_JNA_AS_CCGP11_S243_L002_R[12]_001.fastq.gz
JNA_AS_CCGP_12,CCGPMC025c_JNA_AS_CCGP12_S242_L002_R[12]_001.fastq.gz
JNA_AS_CCGP_13,CCGPMC025c_JNA_AS_CCGP13_S241_L002_R[12]_001.fastq.gz
JNA_AS_CCGP_14,CCGPMC025c_JNA_AS_CCGP14_S240_L002_R[12]_001.fastq.gz
JNA_AS_CCGP_15,CCGPMC025c_JNA_AS_CCGP15_S239_L002_R[12]_001.fastq.gz
JNA_AS_CCGP_16,CCGPMC025c_JNA_AS_CCGP16_S238_L002_R[12]_001.fastq.gz
JNA_AS_CCGP_17,CCGPMC025c_JNA_AS_CCGP17_S237_L002_R[12]_001.fastq.gz
JNA_AS_CCGP_18,CCGPMC025c_JNA_AS_CCGP18_S236_L002_R[12]_001.fastq.gz
JNA_AS_CCGP_19,CCGPMC025c_JNA_AS_CCGP19_S235_L002_R[12]_001.fastq.gz
JNA_AS_CCGP_20,CCGPMC025c_JNA_AS_CCGP20_S234_L002_R[12]_001.fastq.gz
JNA_AS_CCGP_21,CCGPMC025c_JNA_AS_CCGP21_S232_L002_R[12]_001.fastq.gz
JNA_AS_CCGP_22,CCGPMC025c_JNA_AS_CCGP22_S233_L002_R[12]_001.fastq.gz
JNA_AS_CCGP_23,CCGPMC025c_JNA_AS_CCGP23_S231_L002_R[12]_001.fastq.gz
JNA_AS_CCGP_24,CCGPMC025c_JNA_AS_CCGP24_S230_L002_R[12]_001.fastq.gz
JNA_AS_CCGP_25,CCGPMC025c_JNA_AS_CCGP25_S229_L002_R[12]_001.fastq.gz
JNA_AS_CCGP_26,CCGPMC025c_JNA_AS_CCGP26_S228_L002_R[12]_001.fastq.gz
JNA_AS_CCGP_27,CCGPMC025c_JNA_AS_CCGP27_S227_L002_R[12]_001.fastq.gz
JNA_AS_CCGP_28,CCGPMC025c_JNA_AS_CCGP28_S226_L002_R[12]_001.fastq.gz
JNA_AS_CCGP_29,CCGPMC025c_JNA_AS_CCGP29_S225_L002_R[12]_001.fastq.gz
JNA_AS_CCGP_30,CCGPMC025c_JNA_AS_CCGP30_S224_L002_R[12]_001.fastq.gz
JNA_AS_CCGP_31,CCGPMC025c_JNA_AS_CCGP31_S223_L002_R[12]_001.fastq.gz
JNA_AS_CCGP_32,CCGPMC025c_JNA_AS_CCGP32_S222_L002_R[12]_001.fastq.gz
JNA_AS_CCGP_33,CCGPMC025c_JNA_AS_CCGP33_S221_L002_R[12]_001.fastq.gz
JNA_AS_CCGP_34,CCGPMC025c_JNA_AS_CCGP34_S220_L002_R[12]_001.fastq.gz
JNA_AS_CCGP_35,CCGPMC025c_JNA_AS_CCGP35_S219_L002_R[12]_001.fastq.gz
JNA_AS_CCGP_36,CCGPMC025c_JNA_AS_CCGP36_S218_L002_R[12]_001.fastq.gz
JNA_AS_CCGP_37,CCGPMC025c_JNA_AS_CCGP37_S217_L002_R[12]_001.fastq.gz
JNA_AS_CCGP_38,CCGPMC025c_JNA_AS_CCGP38_S216_L002_R[12]_001.fastq.gz
JNA_AS_CCGP_39,CCGPMC025c_JNA_AS_CCGP39_S311_L002_R[12]_001.fastq.gz
JNA_AS_CCGP_40,CCGPMC025c_JNA_AS_CCGP40_S310_L002_R[12]_001.fastq.gz
JNA_AS_CCGP_41,CCGPMC025c_JNA_AS_CCGP41_S309_L002_R[12]_001.fastq.gz
JNA_AS_CCGP_42,CCGPMC025c_JNA_AS_CCGP42_S308_L002_R[12]_001.fastq.gz
JNA_AS_CCGP_43,CCGPMC025c_JNA_AS_CCGP43_S307_L002_R[12]_001.fastq.gz
