number,Sample,x,y
0,JNA_AS_CCGP_00,-119.907222,34.068611
1,JNA_AS_CCGP_01,-120.064722,33.997778
2,JNA_AS_CCGP_02,-120.028056,33.985833
3,JNA_AS_CCGP_03,-120.028056,33.985833
4,JNA_AS_CCGP_04,-119.572222,34.031389
5,JNA_AS_CCGP_05,-117.666833,34.230833
6,JNA_AS_CCGP_06,-117.321056,33.965917
7,JNA_AS_CCGP_07,-118.112583,34.492722
8,JNA_AS_CCGP_08,-116.893417,32.726583
9,JNA_AS_CCGP_09,-117.241833,32.672722
10,JNA_AS_CCGP_10,-116.814639,32.663167
101,JNA_AS_CCGP_100,-121.788083,39.186611
102,JNA_AS_CCGP_101,-121.715,39.212111
103,JNA_AS_CCGP_102,-121.433333,39.226361
104,JNA_AS_CCGP_103,-120.691417,39.310583
105,JNA_AS_CCGP_104,-120.818639,39.319667
106,JNA_AS_CCGP_105,-117.997,35.375083
107,JNA_AS_CCGP_106,-117.992972,35.387694
108,JNA_AS_CCGP_107,-117.819083,35.410111
109,JNA_AS_CCGP_108,-117.666167,35.377
110,JNA_AS_CCGP_109,-117.631556,35.347917
11,JNA_AS_CCGP_11,-116.618806,32.606083
111,JNA_AS_CCGP_110,-117.592,35.42225
112,JNA_AS_CCGP_111,-117.261861,35.109278
113,JNA_AS_CCGP_112,-117.157667,35.074083
114,JNA_AS_CCGP_113,-117.105278,35.125111
115,JNA_AS_CCGP_114,-117.048333,35.102972
116,JNA_AS_CCGP_115,-116.971417,35.037528
117,JNA_AS_CCGP_116,-116.902056,35.011167
118,JNA_AS_CCGP_117,-116.836278,35.041778
119,JNA_AS_CCGP_118,-116.628028,35.058917
120,JNA_AS_CCGP_119,-116.558944,35.054167
12,JNA_AS_CCGP_12,-116.788667,32.621389
121,JNA_AS_CCGP_120,-116.490083,35.112389
122,JNA_AS_CCGP_121,-116.429254,35.174559
123,JNA_AS_CCGP_122,-116.451222,35.149111
124,JNA_AS_CCGP_123,-116.370333,35.247111
125,JNA_AS_CCGP_124,-116.292389,35.270833
126,JNA_AS_CCGP_125,-116.027361,35.416639
127,JNA_AS_CCGP_126,-115.992167,35.41125
128,JNA_AS_CCGP_127,-115.933694,35.403528
129,JNA_AS_CCGP_128,-115.895361,35.383889
130,JNA_AS_CCGP_129,-115.835417,35.393611
13,JNA_AS_CCGP_13,-116.680944,32.599583
131,JNA_AS_CCGP_130,-115.866194,35.774639
132,JNA_AS_CCGP_131,-115.735,35.774306
133,JNA_AS_CCGP_132,-115.688083,35.719
134,JNA_AS_CCGP_133,-117.956083,35.624528
135,JNA_AS_CCGP_134,-118.043667,35.675778
136,JNA_AS_CCGP_135,-118.109444,35.749556
137,JNA_AS_CCGP_136,-118.198,35.695944
138,JNA_AS_CCGP_137,-118.436667,35.658806
139,JNA_AS_CCGP_138,-118.616194,35.553611
140,JNA_AS_CCGP_139,-118.795306,35.440139
14,JNA_AS_CCGP_14,-116.49075,32.594
141,JNA_AS_CCGP_140,-119.603444,35.299139
142,JNA_AS_CCGP_141,-119.822917,35.355167
143,JNA_AS_CCGP_142,-120.279361,35.352083
144,JNA_AS_CCGP_143,-120.833194,35.357778
145,JNA_AS_CCGP_144,-120.720528,35.334917
146,JNA_AS_CCGP_145,-120.936417,35.44925
147,JNA_AS_CCGP_146,-121.155111,35.622333
148,JNA_AS_CCGP_147,-121.274889,35.668972
149,JNA_AS_CCGP_148,-119.063056,34.088444
150,JNA_AS_CCGP_149,-119.060167,34.165444
15,JNA_AS_CCGP_15,-116.377444,32.649806
151,JNA_AS_CCGP_150,-118.808333,34.0015
152,JNA_AS_CCGP_151,-118.888861,34.0625
153,JNA_AS_CCGP_152,-118.889139,34.103139
154,JNA_AS_CCGP_153,-116.349444,34.032417
155,JNA_AS_CCGP_154,-116.303167,34.011222
156,JNA_AS_CCGP_155,-116.122278,34.003194
157,JNA_AS_CCGP_156,-116.084278,33.90175
158,JNA_AS_CCGP_157,-115.932333,33.778722
16,JNA_AS_CCGP_16,-116.254667,32.703056
17,JNA_AS_CCGP_17,-116.144778,32.625056
18,JNA_AS_CCGP_18,-116.0705,32.704472
19,JNA_AS_CCGP_19,-114.50275,34.043861
20,JNA_AS_CCGP_20,-114.751139,34.181139
21,JNA_AS_CCGP_21,-115.190528,34.072778
22,JNA_AS_CCGP_22,-115.354333,34.080833
23,JNA_AS_CCGP_23,-115.569083,34.07625
24,JNA_AS_CCGP_24,-117.835111,34.290583
25,JNA_AS_CCGP_25,-118.079611,34.268944
26,JNA_AS_CCGP_26,-117.465389,34.224306
27,JNA_AS_CCGP_27,-117.273639,34.177139
28,JNA_AS_CCGP_28,-117.185667,34.153111
29,JNA_AS_CCGP_29,-117.060694,34.075667
30,JNA_AS_CCGP_30,-117.432944,33.746222
31,JNA_AS_CCGP_31,-118.305556,34.140528
32,JNA_AS_CCGP_32,-118.342306,34.122222
33,JNA_AS_CCGP_33,-118.511611,34.123806
34,JNA_AS_CCGP_34,-118.583278,34.123694
35,JNA_AS_CCGP_35,-118.659917,34.103056
36,JNA_AS_CCGP_36,-118.719278,34.108389
37,JNA_AS_CCGP_37,-117.922417,35.978556
38,JNA_AS_CCGP_38,-118.449389,37.4635
39,JNA_AS_CCGP_39,-118.5415,37.406389
40,JNA_AS_CCGP_40,-119.198917,38.184972
