number,Sample,x,y
41,JNA_AS_CCGP_41,-120.289389,40.403583
42,JNA_AS_CCGP_42,-120.290694,40.403361
43,JNA_AS_CCGP_43,-120.006778,41.544472
44,JNA_AS_CCGP_44,-120.050194,41.578556
45,JNA_AS_CCGP_45,-120.094889,41.618167
46,JNA_AS_CCGP_46,-121.997917,41.740889
47,JNA_AS_CCGP_47,-122.065583,41.755944
48,JNA_AS_CCGP_48,-121.908944,41.761972
49,JNA_AS_CCGP_49,-121.934194,41.803167
50,JNA_AS_CCGP_50,-121.934222,41.803167
51,JNA_AS_CCGP_51,-121.783611,41.719083
52,JNA_AS_CCGP_52,-121.755083,41.775833
53,JNA_AS_CCGP_53,-121.67175,41.76175
54,JNA_AS_CCGP_54,-121.640667,41.779944
55,JNA_AS_CCGP_55A,-121.596611,41.788083
56,JNA_AS_CCGP_55B,-121.596667,41.788194
57,JNA_AS_CCGP_56,-122.156611,41.576778
58,JNA_AS_CCGP_57,-122.2385,41.540694
59,JNA_AS_CCGP_58,-122.242833,41.52
60,JNA_AS_CCGP_59,-122.276722,41.532472
61,JNA_AS_CCGP_60,-122.347639,41.481889
62,JNA_AS_CCGP_61,-122.449972,41.473194
63,JNA_AS_CCGP_62,-122.472333,41.515361
64,JNA_AS_CCGP_63,-122.501389,41.587056
65,JNA_AS_CCGP_64,-122.453167,41.633361
66,JNA_AS_CCGP_65,-122.683889,41.719278
67,JNA_AS_CCGP_66,-122.581972,41.780556
68,JNA_AS_CCGP_67,-122.582667,41.839528
69,JNA_AS_CCGP_68,-122.619861,41.834417
70,JNA_AS_CCGP_69,-122.694722,41.854778
71,JNA_AS_CCGP_70,-122.816917,41.873333
72,JNA_AS_CCGP_71,-123.019472,41.793278
73,JNA_AS_CCGP_72,-123.511278,41.591667
74,JNA_AS_CCGP_73,-124.118417,41.035639
75,JNA_AS_CCGP_74,-124.1615,41.140833
76,JNA_AS_CCGP_75,-120.832639,36.370722
77,JNA_AS_CCGP_76,-120.485694,36.218639
78,JNA_AS_CCGP_77,-123.810194,39.304528
79,JNA_AS_CCGP_78,-123.802833,39.488028
80,JNA_AS_CCGP_79,-123.813111,39.45125
81,JNA_AS_CCGP_80,-123.812611,39.329944
82,JNA_AS_CCGP_81,-122.504056,39.168083
83,JNA_AS_CCGP_82,-122.455917,39.027556
84,JNA_AS_CCGP_83,-122.351056,38.983722
85,JNA_AS_CCGP_84,-122.343389,38.958444
86,JNA_AS_CCGP_85,-122.331556,38.925972
87,JNA_AS_CCGP_86,-122.301944,38.910194
88,JNA_AS_CCGP_87,-122.606,38.998083
89,JNA_AS_CCGP_88,-122.370361,39.011472
90,JNA_AS_CCGP_89,-122.407639,39.011417
91,JNA_AS_CCGP_90,-122.761278,39.040111
92,JNA_AS_CCGP_91,-122.490778,39.020194
93,JNA_AS_CCGP_92,-122.268056,38.908833
94,JNA_AS_CCGP_93,-122.344333,39.025472
95,JNA_AS_CCGP_94,-122.345,39.061861
96,JNA_AS_CCGP_95,-122.320806,39.106083
97,JNA_AS_CCGP_96,-121.833222,39.157
98,JNA_AS_CCGP_97,-121.868611,39.169944
99,JNA_AS_CCGP_98,-121.893028,39.195222
100,JNA_AS_CCGP_99,-121.905611,39.216889
