Sample,x,y
JNA_AS_CCGP_00,-119.907222,34.068611
JNA_AS_CCGP_01,-120.064722,33.997778
JNA_AS_CCGP_02,-120.028056,33.985833
JNA_AS_CCGP_03,-120.028056,33.985833
JNA_AS_CCGP_04,-119.572222,34.031389
JNA_AS_CCGP_05,-117.666833,34.230833
JNA_AS_CCGP_06,-117.321056,33.965917
JNA_AS_CCGP_07,-118.112583,34.492722
JNA_AS_CCGP_08,-116.893417,32.726583
JNA_AS_CCGP_09,-117.241833,32.672722
JNA_AS_CCGP_10,-116.814639,32.663167
JNA_AS_CCGP_100,-121.788083,39.186611
JNA_AS_CCGP_101,-121.715,39.212111
JNA_AS_CCGP_102,-121.433333,39.226361
JNA_AS_CCGP_103,-120.691417,39.310583
JNA_AS_CCGP_104,-120.818639,39.319667
JNA_AS_CCGP_105,-117.997,35.375083
JNA_AS_CCGP_106,-117.992972,35.387694
JNA_AS_CCGP_107,-117.819083,35.410111
JNA_AS_CCGP_108,-117.666167,35.377
JNA_AS_CCGP_109,-117.631556,35.347917
JNA_AS_CCGP_11,-116.618806,32.606083
JNA_AS_CCGP_110,-117.592,35.42225
JNA_AS_CCGP_111,-117.261861,35.109278
JNA_AS_CCGP_112,-117.157667,35.074083
JNA_AS_CCGP_113,-117.105278,35.125111
JNA_AS_CCGP_114,-117.048333,35.102972
JNA_AS_CCGP_115,-116.971417,35.037528
JNA_AS_CCGP_116,-116.902056,35.011167
JNA_AS_CCGP_117,-116.836278,35.041778
JNA_AS_CCGP_118,-116.628028,35.058917
JNA_AS_CCGP_119,-116.558944,35.054167
JNA_AS_CCGP_12,-116.788667,32.621389
JNA_AS_CCGP_120,-116.490083,35.112389
JNA_AS_CCGP_121,-116.429254,35.174559
JNA_AS_CCGP_122,-116.451222,35.149111
JNA_AS_CCGP_123,-116.370333,35.247111
JNA_AS_CCGP_124,-116.292389,35.270833
JNA_AS_CCGP_125,-116.027361,35.416639
JNA_AS_CCGP_126,-115.992167,35.41125
JNA_AS_CCGP_127,-115.933694,35.403528
JNA_AS_CCGP_128,-115.895361,35.383889
JNA_AS_CCGP_129,-115.835417,35.393611
JNA_AS_CCGP_13,-116.680944,32.599583
JNA_AS_CCGP_130,-115.866194,35.774639
JNA_AS_CCGP_131,-115.735,35.774306
JNA_AS_CCGP_132,-115.688083,35.719
JNA_AS_CCGP_133,-117.956083,35.624528
JNA_AS_CCGP_134,-118.043667,35.675778
JNA_AS_CCGP_135,-118.109444,35.749556
JNA_AS_CCGP_136,-118.198,35.695944
JNA_AS_CCGP_137,-118.436667,35.658806
JNA_AS_CCGP_138,-118.616194,35.553611
JNA_AS_CCGP_139,-118.795306,35.440139
JNA_AS_CCGP_14,-116.49075,32.594
JNA_AS_CCGP_140,-119.603444,35.299139
JNA_AS_CCGP_141,-119.822917,35.355167
JNA_AS_CCGP_142,-120.279361,35.352083
JNA_AS_CCGP_143,-120.833194,35.357778
JNA_AS_CCGP_144,-120.720528,35.334917
JNA_AS_CCGP_145,-120.936417,35.44925
JNA_AS_CCGP_146,-121.155111,35.622333
JNA_AS_CCGP_147,-121.274889,35.668972
JNA_AS_CCGP_148,-119.063056,34.088444
JNA_AS_CCGP_149,-119.060167,34.165444
JNA_AS_CCGP_15,-116.377444,32.649806
JNA_AS_CCGP_150,-118.808333,34.0015
JNA_AS_CCGP_151,-118.888861,34.0625
JNA_AS_CCGP_152,-118.889139,34.103139
JNA_AS_CCGP_153,-116.349444,34.032417
JNA_AS_CCGP_154,-116.303167,34.011222
JNA_AS_CCGP_155,-116.122278,34.003194
JNA_AS_CCGP_156,-116.084278,33.90175
JNA_AS_CCGP_157,-115.932333,33.778722
JNA_AS_CCGP_16,-116.254667,32.703056
JNA_AS_CCGP_17,-116.144778,32.625056
JNA_AS_CCGP_18,-116.0705,32.704472
JNA_AS_CCGP_19,-114.50275,34.043861
JNA_AS_CCGP_20,-114.751139,34.181139
JNA_AS_CCGP_21,-115.190528,34.072778
JNA_AS_CCGP_22,-115.354333,34.080833
JNA_AS_CCGP_23,-115.569083,34.07625
JNA_AS_CCGP_24,-117.835111,34.290583
JNA_AS_CCGP_25,-118.079611,34.268944
JNA_AS_CCGP_26,-117.465389,34.224306
JNA_AS_CCGP_27,-117.273639,34.177139
JNA_AS_CCGP_28,-117.185667,34.153111
JNA_AS_CCGP_29,-117.060694,34.075667
JNA_AS_CCGP_30,-117.432944,33.746222
JNA_AS_CCGP_31,-118.305556,34.140528
JNA_AS_CCGP_32,-118.342306,34.122222
JNA_AS_CCGP_33,-118.511611,34.123806
JNA_AS_CCGP_34,-118.583278,34.123694
JNA_AS_CCGP_35,-118.659917,34.103056
JNA_AS_CCGP_36,-118.719278,34.108389
JNA_AS_CCGP_37,-117.922417,35.978556
JNA_AS_CCGP_38,-118.449389,37.4635
JNA_AS_CCGP_39,-118.5415,37.406389
JNA_AS_CCGP_40,-119.198917,38.184972
JNA_AS_CCGP_41,-120.289389,40.403583
JNA_AS_CCGP_42,-120.290694,40.403361
JNA_AS_CCGP_43,-120.006778,41.544472
JNA_AS_CCGP_44,-120.050194,41.578556
JNA_AS_CCGP_45,-120.094889,41.618167
JNA_AS_CCGP_46,-121.997917,41.740889
JNA_AS_CCGP_47,-122.065583,41.755944
JNA_AS_CCGP_48,-121.908944,41.761972
JNA_AS_CCGP_49,-121.934194,41.803167
JNA_AS_CCGP_50,-121.934222,41.803167
JNA_AS_CCGP_51,-121.783611,41.719083
JNA_AS_CCGP_52,-121.755083,41.775833
JNA_AS_CCGP_53,-121.67175,41.76175
JNA_AS_CCGP_54,-121.640667,41.779944
JNA_AS_CCGP_55A,-121.596611,41.788083
JNA_AS_CCGP_55B,-121.596667,41.788194
JNA_AS_CCGP_56,-122.156611,41.576778
JNA_AS_CCGP_57,-122.2385,41.540694
JNA_AS_CCGP_58,-122.242833,41.52
JNA_AS_CCGP_59,-122.276722,41.532472
JNA_AS_CCGP_60,-122.347639,41.481889
JNA_AS_CCGP_61,-122.449972,41.473194
JNA_AS_CCGP_62,-122.472333,41.515361
JNA_AS_CCGP_63,-122.501389,41.587056
JNA_AS_CCGP_64,-122.453167,41.633361
JNA_AS_CCGP_65,-122.683889,41.719278
JNA_AS_CCGP_66,-122.581972,41.780556
JNA_AS_CCGP_67,-122.582667,41.839528
JNA_AS_CCGP_68,-122.619861,41.834417
JNA_AS_CCGP_69,-122.694722,41.854778
JNA_AS_CCGP_70,-122.816917,41.873333
JNA_AS_CCGP_71,-123.019472,41.793278
JNA_AS_CCGP_72,-123.511278,41.591667
JNA_AS_CCGP_73,-124.118417,41.035639
JNA_AS_CCGP_74,-124.1615,41.140833
JNA_AS_CCGP_75,-120.832639,36.370722
JNA_AS_CCGP_76,-120.485694,36.218639
JNA_AS_CCGP_77,-123.810194,39.304528
JNA_AS_CCGP_78,-123.802833,39.488028
JNA_AS_CCGP_79,-123.813111,39.45125
JNA_AS_CCGP_80,-123.812611,39.329944
JNA_AS_CCGP_81,-122.504056,39.168083
JNA_AS_CCGP_82,-122.455917,39.027556
JNA_AS_CCGP_83,-122.351056,38.983722
JNA_AS_CCGP_84,-122.343389,38.958444
JNA_AS_CCGP_85,-122.331556,38.925972
JNA_AS_CCGP_86,-122.301944,38.910194
JNA_AS_CCGP_87,-122.606,38.998083
JNA_AS_CCGP_88,-122.370361,39.011472
JNA_AS_CCGP_89,-122.407639,39.011417
JNA_AS_CCGP_90,-122.761278,39.040111
JNA_AS_CCGP_91,-122.490778,39.020194
JNA_AS_CCGP_92,-122.268056,38.908833
JNA_AS_CCGP_93,-122.344333,39.025472
JNA_AS_CCGP_94,-122.345,39.061861
JNA_AS_CCGP_95,-122.320806,39.106083
JNA_AS_CCGP_96,-121.833222,39.157
JNA_AS_CCGP_97,-121.868611,39.169944
JNA_AS_CCGP_98,-121.893028,39.195222
JNA_AS_CCGP_99,-121.905611,39.216889
