"","group"
"JNA_AS_CCGP_00","G002"
"JNA_AS_CCGP_01","G002"
"JNA_AS_CCGP_02","G002"
"JNA_AS_CCGP_03","G002"
"JNA_AS_CCGP_04","G002"
"JNA_AS_CCGP_05","G001"
"JNA_AS_CCGP_06","G003"
"JNA_AS_CCGP_07","G003"
"JNA_AS_CCGP_08","G003"
"JNA_AS_CCGP_09","G002"
"JNA_AS_CCGP_10","G003"
"JNA_AS_CCGP_100","G002"
"JNA_AS_CCGP_101","G002"
"JNA_AS_CCGP_102","G002"
"JNA_AS_CCGP_103","G001"
"JNA_AS_CCGP_104","G001"
"JNA_AS_CCGP_105","G001"
"JNA_AS_CCGP_106","G003"
"JNA_AS_CCGP_107","G001"
"JNA_AS_CCGP_108","G005"
"JNA_AS_CCGP_109","G005"
"JNA_AS_CCGP_11","G003"
"JNA_AS_CCGP_110","G003"
"JNA_AS_CCGP_111","G003"
"JNA_AS_CCGP_112","G003"
"JNA_AS_CCGP_113","G003"
"JNA_AS_CCGP_114","Outlier010"
"JNA_AS_CCGP_115","G005"
"JNA_AS_CCGP_116","Outlier006"
"JNA_AS_CCGP_117","G005"
"JNA_AS_CCGP_118","G005"
"JNA_AS_CCGP_119","G005"
"JNA_AS_CCGP_12","G003"
"JNA_AS_CCGP_120","G005"
"JNA_AS_CCGP_121","G005"
"JNA_AS_CCGP_122","G005"
"JNA_AS_CCGP_123","G005"
"JNA_AS_CCGP_124","G005"
"JNA_AS_CCGP_125","G003"
"JNA_AS_CCGP_126","G005"
"JNA_AS_CCGP_127","G005"
"JNA_AS_CCGP_128","G005"
"JNA_AS_CCGP_129","G005"
"JNA_AS_CCGP_13","G003"
"JNA_AS_CCGP_130","Outlier009"
"JNA_AS_CCGP_131","Outlier002"
"JNA_AS_CCGP_132","G005"
"JNA_AS_CCGP_133","G001"
"JNA_AS_CCGP_134","G001"
"JNA_AS_CCGP_135","G001"
"JNA_AS_CCGP_136","G001"
"JNA_AS_CCGP_137","G001"
"JNA_AS_CCGP_138","G001"
"JNA_AS_CCGP_139","G003"
"JNA_AS_CCGP_14","G003"
"JNA_AS_CCGP_140","G003"
"JNA_AS_CCGP_141","G003"
"JNA_AS_CCGP_142","G003"
"JNA_AS_CCGP_143","G002"
"JNA_AS_CCGP_144","Outlier007"
"JNA_AS_CCGP_145","Outlier007"
"JNA_AS_CCGP_146","G002"
"JNA_AS_CCGP_147","G002"
"JNA_AS_CCGP_148","G002"
"JNA_AS_CCGP_149","Outlier007"
"JNA_AS_CCGP_15","G003"
"JNA_AS_CCGP_150","G002"
"JNA_AS_CCGP_151","G002"
"JNA_AS_CCGP_152","Outlier004"
"JNA_AS_CCGP_153","Outlier003"
"JNA_AS_CCGP_154","Outlier005"
"JNA_AS_CCGP_155","Outlier008"
"JNA_AS_CCGP_156","Outlier009"
"JNA_AS_CCGP_157","G005"
"JNA_AS_CCGP_16","G003"
"JNA_AS_CCGP_17","G003"
"JNA_AS_CCGP_18","G003"
"JNA_AS_CCGP_19","G005"
"JNA_AS_CCGP_20","G005"
"JNA_AS_CCGP_21","G005"
"JNA_AS_CCGP_22","G005"
"JNA_AS_CCGP_23","G005"
"JNA_AS_CCGP_24","G001"
"JNA_AS_CCGP_25","G001"
"JNA_AS_CCGP_26","G003"
"JNA_AS_CCGP_27","G003"
"JNA_AS_CCGP_28","G003"
"JNA_AS_CCGP_29","G003"
"JNA_AS_CCGP_30","G003"
"JNA_AS_CCGP_31","G003"
"JNA_AS_CCGP_32","G002"
"JNA_AS_CCGP_33","G003"
"JNA_AS_CCGP_34","G003"
"JNA_AS_CCGP_35","G003"
"JNA_AS_CCGP_36","G003"
"JNA_AS_CCGP_37","G003"
"JNA_AS_CCGP_38","Outlier006"
"JNA_AS_CCGP_39","Outlier006"
"JNA_AS_CCGP_40","G001"
"JNA_AS_CCGP_41","Outlier001"
"JNA_AS_CCGP_42","G001"
"JNA_AS_CCGP_43","G001"
"JNA_AS_CCGP_44","G001"
"JNA_AS_CCGP_45","Outlier001"
"JNA_AS_CCGP_46","G004"
"JNA_AS_CCGP_47","G004"
"JNA_AS_CCGP_48","G004"
"JNA_AS_CCGP_49","G004"
"JNA_AS_CCGP_50","G004"
"JNA_AS_CCGP_51","G004"
"JNA_AS_CCGP_52","G004"
"JNA_AS_CCGP_53","G004"
"JNA_AS_CCGP_54","G004"
"JNA_AS_CCGP_55A","G004"
"JNA_AS_CCGP_55B","G004"
"JNA_AS_CCGP_56","G004"
"JNA_AS_CCGP_57","G004"
"JNA_AS_CCGP_58","G004"
"JNA_AS_CCGP_59","G004"
"JNA_AS_CCGP_60","G004"
"JNA_AS_CCGP_61","G004"
"JNA_AS_CCGP_62","G004"
"JNA_AS_CCGP_63","G004"
"JNA_AS_CCGP_64","G004"
"JNA_AS_CCGP_65","G004"
"JNA_AS_CCGP_66","G004"
"JNA_AS_CCGP_67","G004"
"JNA_AS_CCGP_68","G004"
"JNA_AS_CCGP_69","G004"
"JNA_AS_CCGP_70","G004"
"JNA_AS_CCGP_71","G004"
"JNA_AS_CCGP_72","G004"
"JNA_AS_CCGP_73","G002"
"JNA_AS_CCGP_74","G002"
"JNA_AS_CCGP_75","G001"
"JNA_AS_CCGP_76","G003"
"JNA_AS_CCGP_77","G002"
"JNA_AS_CCGP_78","G002"
"JNA_AS_CCGP_79","G002"
"JNA_AS_CCGP_80","G002"
"JNA_AS_CCGP_81","G001"
"JNA_AS_CCGP_82","G001"
"JNA_AS_CCGP_83","G003"
"JNA_AS_CCGP_84","G003"
"JNA_AS_CCGP_85","G003"
"JNA_AS_CCGP_86","G003"
"JNA_AS_CCGP_87","Outlier006"
"JNA_AS_CCGP_88","G001"
"JNA_AS_CCGP_89","G001"
"JNA_AS_CCGP_90","G001"
"JNA_AS_CCGP_91","G001"
"JNA_AS_CCGP_92","G003"
"JNA_AS_CCGP_93","G003"
"JNA_AS_CCGP_94","G002"
"JNA_AS_CCGP_95","G003"
"JNA_AS_CCGP_96","G002"
